,motion,device,condition,value
0,upper,on,右方向-往路,2.2341092904551316
1,upper,on,右方向-往路,1.5262055865881703
2,upper,on,右方向-往路,2.4597168352219145
3,upper,on,右方向-往路,2.5944553613060144
4,upper,on,右方向-往路,1.011289275895462
5,upper,on,右方向-往路,0.21107693310429798
6,upper,on,右方向-往路,-0.5062599916708656
7,upper,on,右方向-往路,0.6975056419734943
8,upper,on,右方向-往路,-0.08452236238992375
9,upper,on,右方向-往路,-0.45232007755959414
10,upper,on,右方向-往路,0.7403486007028733
11,upper,on,右方向-往路,3.145711657253894
12,upper,on,右方向-往路,3.125890695950859
13,upper,on,右方向-往路,2.3945963309762175
14,upper,on,右方向-往路,1.445858642128185
15,upper,on,右方向-往路,-0.3949530344347861
16,upper,on,右方向-往路,-0.42488668841456495
17,upper,on,右方向-往路,-0.08013684903120978
18,upper,on,右方向-往路,2.246727565679522
19,upper,on,右方向-往路,1.257365717041662
20,upper,on,右方向-往路,2.69055604018778
21,upper,on,右方向-往路,3.5191816638336504
22,upper,on,右方向-往路,2.411712512355367
23,upper,on,右方向-往路,2.739164956748069
24,upper,on,右方向-往路,3.1799210174113193
25,upper,on,右方向-往路,0.08305152462369533
26,upper,on,右方向-往路,0.01614239756464112
27,upper,on,右方向-往路,-0.6699650387620515
28,upper,on,右方向-往路,-0.16398396916115993
29,upper,on,右方向-往路,-0.4299873056197897
30,upper,on,右方向-往路,0.8473975527645583
31,upper,on,右方向-往路,0.6708273988554977
32,upper,on,右方向-往路,0.7959161597487058
33,upper,on,右方向-往路,0.7188033706027308
34,upper,on,右方向-往路,1.2934891558426669
35,upper,on,右方向-往路,1.9075713072126228
36,upper,on,右方向-往路,0.1158936425424929
37,upper,on,右方向-往路,-0.17192517117486522
38,upper,on,右方向-往路,-0.25105241304536097
39,upper,on,右方向-往路,-0.02631790176627865
40,upper,on,右方向-往路,-0.8283372176223033
41,upper,on,右方向-往路,-0.6570962903733741
42,upper,on,右方向-往路,-0.6053664623406403
43,upper,on,右方向-往路,-0.4116243721358665
44,upper,on,右方向-往路,-0.375610943815635
45,upper,on,右方向-往路,-0.7128437460343615
46,upper,on,右方向-往路,0.9463931076437085
47,upper,on,右方向-往路,2.031679360252596
48,upper,on,右方向-往路,1.862022864035929
49,upper,on,右方向-往路,1.636303279705954
50,upper,on,右方向-往路,0.4595258765665988
51,upper,on,右方向-往路,0.28041372951195626
52,upper,on,右方向-往路,0.01020165271797356
53,upper,on,右方向-往路,0.16198455840650566
54,upper,on,右方向-往路,0.3505321736387927
55,upper,on,右方向-往路,1.4072824333038325
56,upper,on,右方向-往路,1.9179639245618039
57,upper,on,右方向-往路,1.2040621824128959
58,upper,on,右方向-往路,0.37851815514334447
59,upper,on,右方向-往路,1.5486088623328882
60,upper,on,右方向-往路,-0.5035663232034658
61,upper,on,右方向-往路,-0.10406204558862973
62,upper,on,右方向-往路,-0.7193178044621357
63,upper,on,右方向-往路,0.05642020674869254
64,upper,on,右方向-往路,1.1319251231455556
65,upper,on,右方向-往路,-0.5584892154245094
66,upper,on,右方向-往路,0.4044698178383135
67,upper,on,右方向-往路,-0.7687815450287881
68,upper,on,右方向-往路,1.3820208782614158
69,upper,on,右方向-往路,3.440441836708716
70,upper,on,右方向-往路,-0.3259363399767219
71,upper,on,右方向-往路,-0.4858518652976847
72,upper,on,右方向-往路,-0.8249892069576831
73,upper,on,右方向-往路,-0.8164700177661647
74,upper,on,右方向-往路,-0.8231851788999873
75,upper,on,右方向-往路,1.8472361579466574
76,upper,on,右方向-往路,0.5904394584929076
77,upper,on,右方向-往路,0.19245827942143745
78,upper,on,右方向-往路,0.3157527678921975
79,upper,on,右方向-往路,1.9142378988808666
