,motion,device,condition,value
0,upper,on,right-go,2.0
1,upper,on,right-go,6.0
2,upper,on,right-go,5.0
3,upper,on,right-go,3.0
4,upper,on,right-go,5.0
5,upper,on,right-go,4.0
6,upper,on,right-go,3.0
7,upper,on,right-go,3.0
8,upper,on,right-go,4.0
9,upper,on,right-go,6.0
10,upper,on,right-go,5.0
11,upper,on,right-go,4.0
12,upper,off,right-go,5.0
13,upper,off,right-go,4.0
14,upper,off,right-go,3.0
15,upper,off,right-go,2.0
16,upper,off,right-go,3.0
17,upper,off,right-go,2.0
18,upper,off,right-go,2.0
19,upper,off,right-go,2.0
20,upper,off,right-go,1.0
21,upper,off,right-go,5.0
22,upper,off,right-go,3.0
23,upper,off,right-go,3.0
24,upper,on,right-back,6.0
25,upper,on,right-back,7.0
26,upper,on,right-back,7.0
27,upper,on,right-back,4.0
28,upper,on,right-back,7.0
29,upper,on,right-back,6.0
30,upper,on,right-back,6.0
31,upper,on,right-back,6.0
32,upper,on,right-back,7.0
33,upper,on,right-back,7.0
34,upper,on,right-back,6.0
35,upper,on,right-back,6.0
36,upper,off,right-back,6.0
37,upper,off,right-back,4.0
38,upper,off,right-back,6.0
39,upper,off,right-back,5.0
40,upper,off,right-back,5.0
41,upper,off,right-back,4.0
42,upper,off,right-back,5.0
43,upper,off,right-back,5.0
44,upper,off,right-back,6.0
45,upper,off,right-back,5.0
46,upper,off,right-back,4.0
47,upper,off,right-back,6.0
48,upper,on,left-go,3.0
49,upper,on,left-go,7.0
50,upper,on,left-go,5.0
51,upper,on,left-go,2.0
52,upper,on,left-go,6.0
53,upper,on,left-go,4.0
54,upper,on,left-go,3.0
55,upper,on,left-go,2.0
56,upper,on,left-go,4.0
57,upper,on,left-go,6.0
58,upper,on,left-go,4.0
59,upper,on,left-go,4.0
60,upper,off,left-go,1.0
61,upper,off,left-go,5.0
62,upper,off,left-go,2.0
63,upper,off,left-go,3.0
64,upper,off,left-go,3.0
65,upper,off,left-go,2.0
66,upper,off,left-go,2.0
67,upper,off,left-go,2.0
68,upper,off,left-go,2.0
69,upper,off,left-go,4.0
70,upper,off,left-go,4.0
71,upper,off,left-go,4.0
72,upper,on,left-back,5.0
73,upper,on,left-back,7.0
74,upper,on,left-back,7.0
75,upper,on,left-back,4.0
76,upper,on,left-back,5.0
77,upper,on,left-back,6.0
78,upper,on,left-back,6.0
79,upper,on,left-back,6.0
80,upper,on,left-back,6.0
81,upper,on,left-back,7.0
82,upper,on,left-back,5.0
83,upper,on,left-back,7.0
84,upper,off,left-back,4.0
85,upper,off,left-back,5.0
86,upper,off,left-back,6.0
87,upper,off,left-back,5.0
88,upper,off,left-back,4.0
89,upper,off,left-back,5.0
90,upper,off,left-back,5.0
91,upper,off,left-back,5.0
92,upper,off,left-back,3.0
93,upper,off,left-back,5.0
94,upper,off,left-back,6.0
95,upper,off,left-back,6.0
96,bottom,on,right-go,5.0
97,bottom,on,right-go,6.0
98,bottom,on,right-go,6.0
99,bottom,on,right-go,5.0
100,bottom,on,right-go,5.0
101,bottom,on,right-go,6.0
102,bottom,on,right-go,4.0
103,bottom,on,right-go,4.0
104,bottom,on,right-go,4.0
105,bottom,on,right-go,5.0
106,bottom,on,right-go,6.0
107,bottom,on,right-go,4.0
108,bottom,off,right-go,2.0
109,bottom,off,right-go,5.0
110,bottom,off,right-go,5.0
111,bottom,off,right-go,4.0
112,bottom,off,right-go,5.0
113,bottom,off,right-go,4.0
114,bottom,off,right-go,4.0
115,bottom,off,right-go,3.0
116,bottom,off,right-go,2.0
117,bottom,off,right-go,4.0
118,bottom,off,right-go,4.0
119,bottom,off,right-go,3.0
120,bottom,on,right-back,6.0
121,bottom,on,right-back,7.0
122,bottom,on,right-back,7.0
123,bottom,on,right-back,3.0
124,bottom,on,right-back,6.0
125,bottom,on,right-back,5.0
126,bottom,on,right-back,6.0
127,bottom,on,right-back,6.0
128,bottom,on,right-back,5.0
129,bottom,on,right-back,7.0
130,bottom,on,right-back,6.0
131,bottom,on,right-back,7.0
132,bottom,off,right-back,5.0
133,bottom,off,right-back,5.0
134,bottom,off,right-back,6.0
135,bottom,off,right-back,2.0
136,bottom,off,right-back,5.0
137,bottom,off,right-back,4.0
138,bottom,off,right-back,5.0
139,bottom,off,right-back,5.0
140,bottom,off,right-back,3.0
141,bottom,off,right-back,5.0
142,bottom,off,right-back,4.0
143,bottom,off,right-back,6.0
144,bottom,on,left-go,6.0
145,bottom,on,left-go,6.0
146,bottom,on,left-go,6.0
147,bottom,on,left-go,5.0
148,bottom,on,left-go,6.0
149,bottom,on,left-go,5.0
150,bottom,on,left-go,4.0
151,bottom,on,left-go,4.0
152,bottom,on,left-go,5.0
153,bottom,on,left-go,5.0
154,bottom,on,left-go,4.0
155,bottom,on,left-go,3.0
156,bottom,off,left-go,5.0
157,bottom,off,left-go,4.0
158,bottom,off,left-go,4.0
159,bottom,off,left-go,3.0
160,bottom,off,left-go,6.0
161,bottom,off,left-go,5.0
162,bottom,off,left-go,3.0
163,bottom,off,left-go,3.0
164,bottom,off,left-go,3.0
165,bottom,off,left-go,5.0
166,bottom,off,left-go,4.0
167,bottom,off,left-go,3.0
168,bottom,on,left-back,6.0
169,bottom,on,left-back,7.0
170,bottom,on,left-back,7.0
171,bottom,on,left-back,5.0
172,bottom,on,left-back,6.0
173,bottom,on,left-back,5.0
174,bottom,on,left-back,6.0
175,bottom,on,left-back,6.0
176,bottom,on,left-back,4.0
177,bottom,on,left-back,7.0
178,bottom,on,left-back,7.0
179,bottom,on,left-back,6.0
180,bottom,off,left-back,5.0
181,bottom,off,left-back,5.0
182,bottom,off,left-back,7.0
183,bottom,off,left-back,4.0
184,bottom,off,left-back,4.0
185,bottom,off,left-back,3.0
186,bottom,off,left-back,5.0
187,bottom,off,left-back,5.0
188,bottom,off,left-back,4.0
189,bottom,off,left-back,5.0
190,bottom,off,left-back,5.0
191,bottom,off,left-back,6.0
